sigma	surveillance_report_1	surveillance_report_3	surveillance_report_4_summer	surveillance_report_4_winter	season_amp	season_offset	aki_hospitalisation_4_winter	gastro_hospitalisation_4_winter	gastro_gp_attend_1	D_immun	probT_under5	probT_over5	logDensity
0.8710767352464175	0.0017070816242781156	6.884780818721204e-4	0.007444728734100674	0.01706847675831857	0.017045061666543765	0.3187158222943727	0.26562762391429895	0.09369772270259533	0.34895989678689315	5.231272152986728	0.1344234307926225	0.037187520610678496	-659.3421898504587
0.8288731633741229	0.0018826429190289835	7.110472242373354e-4	0.0041860635819312856	0.018742092190622988	0.018440042237442115	0.25166306419153345	0.22567347867670404	0.07217624853640578	0.3938735777646642	4.39560466915467	0.13215028911107693	0.0379191049259092	-660.385499462162
0.8591020669547897	0.0016923332719626586	7.432631429742314e-4	0.005960338928368082	0.018303411154631327	0.017889989651416534	0.27992043510230075	0.22761917816275973	0.06701027890185307	0.3419433783057754	6.338035855925316	0.14469186546672655	0.038280412025615426	-658.0069475702621
0.7950398424210792	0.0017396860250636506	7.599560757823263e-4	0.005497247236462974	0.019202087858236287	0.018394129233678752	0.04849828701628688	0.3049954301391169	0.07459273536646768	0.34744579082938665	8.372123681177692	0.1663361006849593	0.04278136680721191	-658.821558658972
0.8772426269560563	0.0017542795894520563	7.607674306311515e-4	0.006564281689713619	0.02168671403083481	0.01813211802588017	0.18988841575333942	0.3018921748789875	0.09335257279922364	0.35896349998583993	5.524479760782638	0.14314256243470927	0.03625627593404085	-659.2334874030919
0.8818219452202807	0.0017705309807265165	6.609050652132517e-4	0.0058776355650123615	0.017571076037063166	0.018537548774133408	0.15458510011653273	0.27931922227910944	0.0833927458369282	0.36667981930539034	4.928582369546114	0.1247585076957535	0.03713193941779772	-656.0168235205805
0.8780406850351826	0.0016585237764101656	6.873074721559565e-4	0.0058429838214037804	0.01702263858867142	0.019376677770777118	0.20586272838352154	0.25706728571672105	0.06253682118617317	0.3522778046608503	5.90187552852689	0.13371950441918523	0.03783993076675159	-657.0253422494047
0.8170155401338135	0.001750568311044419	6.849588325580497e-4	0.005735381475512883	0.016093474353429088	0.01930378894199374	0.2981647252380358	0.24982295317960057	0.07566232237521477	0.36927623255881825	5.687409034788082	0.14248712142680045	0.039941632484974295	-655.7477001654918
0.8387074509633589	0.0017064290822646397	7.16898840523428e-4	0.005503076925305914	0.017379906071176662	0.017352865914767035	0.22394368332491094	0.2746784942720189	0.08493585246007519	0.3482852248780235	6.591191017395788	0.14521384125652706	0.04001857021983711	-656.3305790558314
0.8696993616061287	0.0016682869771759323	7.897415272963383e-4	0.005825561819286484	0.01986723935824475	0.017104468057329524	0.331510664045214	0.28638089737771716	0.09111935449279	0.3641426600555953	5.101473949238418	0.14044790393388723	0.03627873087020796	-660.1096059482937
0.8648471185668624	0.0017779300255447575	8.275406723986615e-4	0.006749817583019082	0.019894107717728572	0.017512572884893586	0.3362386681090943	0.3570200521499654	0.07905426791394549	0.3658690664009463	5.123871012519776	0.14525820124103253	0.03592082197961244	-661.7903788644786
0.878444195665434	0.0017485722860947142	7.236647521334106e-4	0.007370462436339173	0.017554067598434534	0.018784653049368376	0.28619346105051435	0.31061259661010976	0.06802411049477042	0.3639614552441378	4.646396005647097	0.13510303919227212	0.035736551821947786	-658.2571037924009
0.8457634096744862	0.001797147077320762	6.909839761329408e-4	0.005500496173303145	0.018874346090011877	0.01908848690166275	0.16813100998167274	0.2237771929374999	0.08094097261934956	0.3738277630135788	5.773033147130539	0.13759490857022835	0.038733368413126974	-656.5274913974878
