sigma	surveillance_report_1	surveillance_report_3	surveillance_report_4_summer	surveillance_report_4_winter	season_amp	season_offset	aki_hospitalisation_4_winter	gastro_hospitalisation_4_winter	gastro_gp_attend_1	D_immun	probT_under5	probT_over5	logDensity
0.8857607518942108	0.0019036733788821655	6.884543823861887e-4	0.005691673037954609	0.018656570810536677	0.020079543983925672	0.27365655060908756	0.2330990294149004	0.08006173059314714	0.3928031255773809	7.926172789945317	0.16832017704052657	0.0391183918469139	-678.6187350938496
0.8630485088835518	0.0017671944344035948	7.609154082847048e-4	0.006391385343308102	0.01719342407846145	0.017854622730845406	0.1360187377612736	0.2149299940199419	0.062276011834189855	0.3671610398246298	9.519918824538344	0.18516590071838782	0.04132751272996856	-680.1258593726195
0.8584577201145327	0.001905052632704635	7.113206686050259e-4	0.0052967260858766685	0.0182125423106916	0.01797962730431663	0.2061266490337475	0.23579545265365887	0.0753687052851628	0.40318020070818406	7.32166045189824	0.16568156992670421	0.03978498461394995	-677.4555293195835
0.888455292091823	0.0017030486748656516	7.326447593924072e-4	0.0048178688246408525	0.019072418673833396	0.015423360022284262	0.2081617365243385	0.3442746214027679	0.08098400017691632	0.3700198420319166	9.965861189907214	0.1874542373508831	0.04009443536677178	-682.4854592569153
0.8892135447152838	0.0016813154161583529	7.24674334404045e-4	0.004820143457120587	0.01961001561829638	0.019859362220369305	0.13848384482635534	0.21981713366891711	0.07569970985159885	0.35697096096044534	11.614056281910097	0.1940111716469127	0.041719433442358435	-681.8713695849403
0.899309061887108	0.0018268213350185636	6.775950124840392e-4	0.0056277405769697775	0.01903719324406332	0.019161285534681275	0.19779639679919703	0.2707586138940499	0.04077674146361921	0.3561629955035121	9.465427473257176	0.18046751213485385	0.039722879001416654	-685.3914054678229
0.886839333978993	0.0019824182604673366	7.405299807769228e-4	0.005818142542083796	0.018181822208706358	0.01742580354206183	0.2453459059679989	0.32164297802582326	0.05064695730197827	0.4031669628018623	6.069872687289019	0.15997358694333774	0.037179563588917344	-682.0335236675867
0.8988089919421202	0.0018657582560273511	7.3675956499523e-4	0.007216558547792733	0.02088414534854318	0.02024239370934894	0.18114926975402176	0.21142343149650197	0.09125202165471719	0.37783291798629454	8.145719632037478	0.1726930651027364	0.03807395735975524	-683.1053526157574
0.8827843217197948	0.0017295578546232338	7.385351981632034e-4	0.005252914035743145	0.02065531867157792	0.016425474292775563	0.23262055389032085	0.2060176153075633	0.07064075801171174	0.3707867391276422	9.598611029013933	0.18618566786441715	0.039931306155052505	-679.4427229659486
0.870408829474824	0.0017145416662814558	7.672050652172822e-4	0.005954616884189161	0.019399670907273618	0.01693745370305783	0.17315710746418872	0.31112465409646695	0.09026022033200176	0.35331872357224436	10.586167889780345	0.19398159535660198	0.04160922969993944	-678.7919916399891
0.8576119738254068	0.0017943854006531714	6.553255090750118e-4	0.004227213336563748	0.017297122113307462	0.01817522405109356	0.17260131235870602	0.23279312269303434	0.06756259230179802	0.3608274291518192	9.47397293836813	0.18153588537295778	0.04254304452011337	-677.0287694285036
0.8879753874430791	0.001831416278650075	6.877938949638485e-4	0.005460771701781876	0.016921215813173542	0.01870102282211769	0.22963271528421153	0.2241224493666075	0.06916424936478219	0.3763328891978494	8.309709966088068	0.16881059091567466	0.03988180187657016	-674.8346044677342
0.8961048920272858	0.0019458436008379305	7.374999982712066e-4	0.00444584152195744	0.020419905457949486	0.018807912295756256	0.13874745531208732	0.2743791222726208	0.081757325858735	0.3855786198040233	7.947684875214561	0.17029152074373477	0.03822992331716455	-679.018463437267
0.8292739313389944	0.0019197847663791716	7.271089703677231e-4	0.004890799553101595	0.019385632333452026	0.019085948791947492	0.21183723571894794	0.20175361003072137	0.06176829999999908	0.38686391512188534	8.556430528215417	0.17906183333470324	0.04232831315238579	-678.9288394945162
